 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity
1425;1.452E-4;0.539;0.027;4.783;4.773;116.565;0.010;3.570;0.280;0.758
1426;1.626E-4;1.000;0.019;7.728;4.790;50.194;0.014;1.297;0.771;0.903
1427;1.161E-5;1.000;0.005;10.299;4.781;153.435;0.002;2.000;0.500;1.000
1428;6.968E-5;1.000;0.014;5.075;4.793;45.000;0.009;1.651;0.606;0.889
1429;2.497E-4;1.000;0.021;4.137;4.805;35.538;0.017;1.088;0.919;0.945
1430;6.387E-5;1.000;0.012;6.311;4.793;126.870;0.009;1.450;0.689;0.846
1431;5.806E-6;1.000;0.003;6.933;4.795;135.000;0.002;1.000;1.000;1.000
1432;2.148E-4;0.855;0.022;10.123;4.800;153.435;0.014;1.458;0.686;0.892
1433;2.439E-4;0.888;0.025;2.152;4.817;29.055;0.016;1.617;0.618;0.866
1434;1.161E-5;1.000;0.005;3.193;4.800;116.565;0.002;2.000;0.500;1.000
1435;1.277E-4;0.768;0.019;6.728;4.800;119.745;0.010;2.139;0.468;0.800
1436;1.277E-4;0.723;0.017;7.133;4.805;146.310;0.014;1.405;0.712;0.733
1437;5.226E-5;1.000;0.012;9.472;4.800;126.870;0.007;1.817;0.550;0.857
1438;2.381E-4;0.976;0.021;4.680;4.805;110.556;0.017;1.181;0.847;0.891
1439;1.161E-5;1.000;0.005;6.135;4.807;153.435;0.002;2.000;0.500;1.000
1440;9.290E-5;1.000;0.014;1.701;4.817;30.964;0.010;1.292;0.774;0.889
1441;7.374E-4;0.764;0.043;8.135;4.824;160.560;0.027;1.697;0.589;0.858
1442;2.439E-4;0.695;0.030;8.480;4.841;61.390;0.013;2.541;0.394;0.875
1443;4.529E-4;0.584;0.044;4.280;4.817;170.538;0.014;3.473;0.288;0.867
1444;1.335E-4;0.878;0.019;7.147;4.817;129.806;0.012;1.792;0.558;0.836
1445;5.806E-6;1.000;0.003;1.092;4.819;135.000;0.002;1.000;1.000;1.000
1446;4.006E-4;0.775;0.028;6.133;4.831;160.017;0.024;1.108;0.903;0.821
1447;1.103E-4;0.853;0.017;4.453;4.836;56.310;0.010;1.828;0.547;0.844
1448;1.335E-4;0.730;0.022;7.981;4.841;63.435;0.009;2.619;0.382;0.852
1449;2.323E-5;1.000;0.007;6.783;4.824;135.000;0.005;1.000;1.000;1.000
1450;2.903E-5;1.000;0.009;4.443;4.834;56.310;0.005;1.553;0.644;0.909
1451;1.510E-4;0.825;0.021;4.328;4.836;20.556;0.010;2.160;0.463;0.897
1452;9.290E-5;0.857;0.015;8.646;4.846;51.340;0.011;1.507;0.663;0.800
1453;2.090E-4;0.832;0.022;10.137;4.848;40.601;0.014;1.471;0.680;0.867
1454;0.002;0.909;0.057;1.313;4.839;112.249;0.051;1.053;0.950;0.939
1455;1.394E-4;1.000;0.016;7.959;4.839;116.565;0.012;1.143;0.875;0.906
1456;8.129E-5;1.000;0.012;9.631;4.839;126.870;0.010;1.125;0.889;0.933
1457;0.002;0.584;0.068;5.304;4.865;147.995;0.039;1.985;0.504;0.807
1458;1.335E-4;0.756;0.021;5.475;4.865;54.462;0.010;2.040;0.490;0.852
1459;2.032E-4;0.793;0.023;7.431;4.865;32.005;0.016;1.612;0.620;0.833
1460;1.742E-5;1.000;0.007;7.969;4.855;135.000;0.005;1.464;0.683;0.857
1461;1.219E-4;0.802;0.018;1.137;4.880;74.055;0.011;1.672;0.598;0.808
1462;0.001;0.679;0.053;0.798;4.870;120.069;0.038;1.529;0.654;0.825
1463;4.471E-4;0.362;0.053;2.805;4.892;24.228;0.020;3.957;0.253;0.647
